,Links,Title,Price,Rating
0,,,,
1,https://www.airbnb.com/rooms/21373363?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Modern unit with a beautiful view,â‚¬Â 18,4.83 (204)
2,https://www.airbnb.com/rooms/553911579414261753?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Alluring 1-Bd Paradise in the Heart of Waikiki,â‚¬Â 18,4.85 (26)
3,https://www.airbnb.com/rooms/771704674205904781?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Spacious 1BDRM @ Waikiki Banyan with Free Parking!,â‚¬Â 24,3.33 (3)
4,https://www.airbnb.com/rooms/789046240210225553?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Bed in Trendy 8 Bed Female Dorm (Women Only),â‚¬Â 47,New
5,https://www.airbnb.com/rooms/593428445415409020?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,15A | Budget room for 1 in Honolulu!,â‚¬Â 94,4.69 (16)
6,https://www.airbnb.com/rooms/45304874?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Studio With Great View & Price in Waikiki,â‚¬Â 14,4.61 (44)
7,https://www.airbnb.com/rooms/9150540?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,B - Cozy Ocean View Studio â˜… Kitchenette â˜… LEGAL,â‚¬Â 16,4.83 (188)
8,https://www.airbnb.com/rooms/730643097238676039?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Mountain & City View Hawaiian Monarch Studio | Full Kitchen | Pool, Hot Tub",â‚¬Â 15,4.75 (4)
9,https://www.airbnb.com/rooms/27314098?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Our pride & joy awaits your presence. Take a peak!,â‚¬Â 16,4.39 (70)
10,https://www.airbnb.com/rooms/814161143457161537?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Best Vacation At Palms Waikiki with free Parking,â‚¬Â 16,New
11,https://www.airbnb.com/rooms/14919677?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,â˜…Superhostâ˜… Brand New Chic Studio | Waikiki,â‚¬Â 21,4.95 (58)
12,https://www.airbnb.com/rooms/577138586222164774?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,A Block away to Waikiki Beach/Pool/Free Parking,â‚¬Â 31,5.0 (10)
13,https://www.airbnb.com/rooms/785605112975140009?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,22nd FL-Bright & Cozy 1BR APT-Central Waikiki~,â‚¬Â 27,New
14,https://www.airbnb.com/rooms/735881112644978650?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,1Bedroom Beautiful Mountain View at Waikiki Sunset,â‚¬Â 21,4.75 (4)
15,https://www.airbnb.com/rooms/53204161?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Waikiki 1BR W/Kitchen, Max 4! Stay W/Family etc.",â‚¬Â 18,4.67 (18)
16,https://www.airbnb.com/rooms/817647824232504595?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,New Renovated Studio in Waikiki,â‚¬Â 19,New
17,https://www.airbnb.com/rooms/41819627?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Ala Moana Hotelcondo 1608 Studio City & Partial Ocean View - 1K,â‚¬Â 21,5.0 (6)
18,https://www.airbnb.com/rooms/36595279?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"IOP613 Your Island Paradise, Kitchen Wi-Fi & Pool",â‚¬Â 22,4.89 (18)
19,https://www.airbnb.com/rooms/41018679?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,2 min from World famous Waikiki Beach &  æ”¹è£…(2016),â‚¬Â 16,4.11 (19)
20,https://www.airbnb.com/rooms/766084004640389706?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Ilikai Collection # 12. Corner Oceanfront condo !,â‚¬Â 44,5.0 (5)
21,https://www.airbnb.com/rooms/27314098?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Our pride & joy awaits your presence. Take a peak!,â‚¬Â 16,4.39 (70)
22,https://www.airbnb.com/rooms/53450221?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Cozy Central Waikiki Condo! * 2 Queens,â‚¬Â 25,4.79 (28)
23,https://www.airbnb.com/rooms/51962027?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Standard Room with King Bed at Waikiki beach,â‚¬Â 23,4.64 (137)
24,https://www.airbnb.com/rooms/29615156?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Ocean View, Half block To Beach, Modern, Waikiki A",â‚¬Â 21,4.68 (160)
25,https://www.airbnb.com/rooms/593428445415409020?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,15A | Budget room for 1 in Honolulu!,â‚¬Â 94,4.69 (16)
26,https://www.airbnb.com/rooms/744376706858931451?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Renovated, Kitchen, 1 Bedrm, Sleeper/Sofa, Parking",â‚¬Â 27,5.0 (4)
27,https://www.airbnb.com/rooms/26457993?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Waikiki Luxury Real One Bedroom includes Parking,â‚¬Â 22,4.82 (100)
28,https://www.airbnb.com/rooms/553911579414261753?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Alluring 1-Bd Paradise in the Heart of Waikiki,â‚¬Â 18,4.85 (26)
29,https://www.airbnb.com/rooms/746487180114917338?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Waikiki Beach Designer Studio with Amazing Views,â‚¬Â 22,5.0 (3)
30,https://www.airbnb.com/rooms/52885841?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Waikiki apt so close to the beach ğŸ–,â‚¬Â 21,4.89 (38)
31,https://www.airbnb.com/rooms/45901984?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"New! Waikiki Banyan 1BR, 2blocks 2beach,w/Parking",â‚¬Â 31,4.79 (28)
32,https://www.airbnb.com/rooms/41411864?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,â˜…Superhostâ˜… Beautiful 1BR Suite | Ocean View!,â‚¬Â 30,5.0 (37)
33,https://www.airbnb.com/rooms/36595279?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"IOP613 Your Island Paradise, Kitchen Wi-Fi & Pool",â‚¬Â 22,4.89 (18)
34,https://www.airbnb.com/rooms/46467109?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,WB2513 Dancing in the Moonlight  Ocean & DH Views,â‚¬Â 32,4.86 (29)
35,https://www.airbnb.com/rooms/35694715?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,PANORAMIC OCEANVIEW ON HIGH FLOOR STEPS FROM BEACH,â‚¬Â 26,4.86 (109)
36,https://www.airbnb.com/rooms/669551793746554989?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Bliss at Waikiki Beach 550Sqft BIG Condo- PoolğŸ–,â‚¬Â 32,5.0 (8)
37,https://www.airbnb.com/rooms/732787090800062056?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Fully Renovated Studio in Heart of Waikiki! MS902,â‚¬Â 25,New
38,https://www.airbnb.com/rooms/607349805742319515?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,HELLO SUNSHINE!! CUTE STUDIO. SUV rental available,â‚¬Â 20,4.76 (21)
39,https://www.airbnb.com/rooms/671375602637305990?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Cozy & Chic Island King Studio-Central Waikiki.,â‚¬Â 23,4.95 (20)
40,https://www.airbnb.com/rooms/41411864?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,â˜…Superhostâ˜… Beautiful 1BR Suite | Ocean View!,â‚¬Â 30,5.0 (37)
41,https://www.airbnb.com/rooms/793685049732630618?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Free Parking! Cozy Island Studio-Central Waikiki!,â‚¬Â 27,New
42,https://www.airbnb.com/rooms/775643139603335763?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Large Studio in heart of Waikiki,â‚¬Â 24,4.67 (3)
43,https://www.airbnb.com/rooms/46467109?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,WB2513 Dancing in the Moonlight  Ocean & DH Views,â‚¬Â 32,4.86 (29)
44,https://www.airbnb.com/rooms/18271078?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Oceanview Waikiki Hawaiian Paradise Free Wifi, A/C",â‚¬Â 23,4.8 (95)
45,https://www.airbnb.com/rooms/705156260682322265?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Resort Vacation Home! Walk to Disney and Beach!,â‚¬Â 50,5.0 (4)
46,https://www.airbnb.com/rooms/39252717?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,22A | Backpacker Room for 1 | Shared Apartment,â‚¬Â 97,4.66 (67)
47,https://www.airbnb.com/rooms/35694715?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,PANORAMIC OCEANVIEW ON HIGH FLOOR STEPS FROM BEACH,â‚¬Â 26,4.86 (109)
48,https://www.airbnb.com/rooms/22124227?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,25th Fl. Ocean Views | 1 Block to Beach | WiFi,â‚¬Â 24,4.76 (157)
49,https://www.airbnb.com/rooms/715358572151958866?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Queen Studio on 16th floor!,â‚¬Â 19,4.75 (4)
50,https://www.airbnb.com/rooms/669551793746554989?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Bliss at Waikiki Beach 550Sqft BIG Condo- PoolğŸ–,â‚¬Â 32,5.0 (8)
51,https://www.airbnb.com/rooms/47929308?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Cozy Studio with a Lanai in the Heart of Waikiki,â‚¬Â 18,4.65 (55)
52,https://www.airbnb.com/rooms/26457993?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Waikiki Luxury Real One Bedroom includes Parking,â‚¬Â 22,4.82 (100)
53,https://www.airbnb.com/rooms/31332767?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Waikiki 2BR condo w/ free Wi-Fi, walk to beach",â‚¬Â 32,4.68 (65)
54,https://www.airbnb.com/rooms/812427334488454006?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,38th FL | Renovated 1 Bedroom | Free Parking,â‚¬Â 31,New
55,https://www.airbnb.com/rooms/661300575214865586?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Breath taking Ocean&Diamond Head View,â‚¬Â 18,4.86 (22)
56,https://www.airbnb.com/rooms/746487180114917338?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Waikiki Beach Designer Studio with Amazing Views,â‚¬Â 22,5.0 (3)
57,https://www.airbnb.com/rooms/548024894606980434?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Bright Stylish Waterfront Waikiki Ocean+Parking ğŸ–,â‚¬Â 30,4.93 (14)
58,https://www.airbnb.com/rooms/43405708?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,2019 Full Renovation Shopping Center is a 2-minute walk! Waikiki Heart,â‚¬Â 17,4.52 (23)
59,https://www.airbnb.com/rooms/54074237?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Endless Ocean Views Waikiki Ilikai #1232,â‚¬Â 35,4.95 (41)
60,https://www.airbnb.com/rooms/45901984?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"New! Waikiki Banyan 1BR, 2blocks 2beach,w/Parking",â‚¬Â 31,4.79 (28)
61,https://www.airbnb.com/rooms/17978048?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Beautiful Ocean View!  Waikiki Sunset #3112,â‚¬Â 35,5.0 (11)
62,https://www.airbnb.com/rooms/766305989242759875?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,2B/2B Free Parking/Remodeled,â‚¬Â 49,5.0 (5)
63,https://www.airbnb.com/rooms/53450221?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Cozy Central Waikiki Condo! * 2 Queens,â‚¬Â 25,4.79 (28)
64,https://www.airbnb.com/rooms/26063949?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"King Room at The Equus, Near Ala Moana!",â‚¬Â 19,4.57 (751)
65,https://www.airbnb.com/rooms/45962806?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Modern Reno'd Unit, Half Block To Beach Waikiki A!",â‚¬Â 23,4.8 (105)
66,https://www.airbnb.com/rooms/16248024?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Ocean View, Steps to Beach, Waikiki Penthouse -A",â‚¬Â 22,4.61 (280)
67,https://www.airbnb.com/rooms/624778514116000794?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Masterfully Renovated Ocean View Unit in Waikiki,â‚¬Â 29,4.94 (16)
68,https://www.airbnb.com/rooms/13100490?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"703 Large Studio, KING BED, CLOSE to beach!!",â‚¬Â 14,4.42 (175)
69,https://www.airbnb.com/rooms/49947707?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,PANORAMIC OCEANVIEW ON HIGH FLOOR STEPS FROM BEACH,â‚¬Â 26,4.76 (72)
70,https://www.airbnb.com/rooms/550261428423666382?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Central Cozy Studio | Vivid Views Waikiki | Pkg ğŸ–,â‚¬Â 20,4.88 (17)
71,https://www.airbnb.com/rooms/6662305?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,AmazingOceanViewCentralAC2minswalktoWaikikibeach,â‚¬Â 26,4.84 (43)
72,https://www.airbnb.com/rooms/27260122?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Ilikai Marina 1 bed Beautiful Ocean Views,â‚¬Â 27,4.74 (111)
73,https://www.airbnb.com/rooms/46602272?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Beautiful Mountain Views | Close to Beach |Parking,â‚¬Â 27,4.84 (37)
74,https://www.airbnb.com/rooms/21151688?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Boutique Central Waikiki 1BR Resort, Full Kitchen",â‚¬Â 19,4.43 (14)
75,https://www.airbnb.com/rooms/547816107698569240?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Poolside Cabana Suite | Pool - Lux - 2 ParkingğŸ–,â‚¬Â 33,4.94 (17)
76,https://www.airbnb.com/rooms/50761960?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Penthouse in Waikiki with ocean & mountain views,â‚¬Â 20,4.85 (20)
77,https://www.airbnb.com/rooms/50055137?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Private studio in Waikiki! Max 4/Condo has Poolâ™ª,â‚¬Â 15,4.62 (21)
78,https://www.airbnb.com/rooms/706187080022345259?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,30th FLR Cozy Family Studio W/Lanai & Ocean Views,â‚¬Â 32,5.0 (6)
79,https://www.airbnb.com/rooms/8353253?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Monthly only Rentals Remote work Fiber WIFI,â‚¬Â 12,4.93 (92)
80,https://www.airbnb.com/rooms/49116744?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Skyview Jr. Deluxe Suite,â‚¬Â 18,4.53 (64)
81,https://www.airbnb.com/rooms/696026608179149939?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Modern Renovated 2Queen Beds Waikiki Condo Kitchen,â‚¬Â 27,4.86 (14)
82,https://www.airbnb.com/rooms/49949197?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Private studio in Waikiki! Max 4/Condo has Poolâ™ª,â‚¬Â 16,4.89 (9)
83,https://www.airbnb.com/rooms/523669967821214288?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Studio w/ Ocean View - 2 blocks to Waikiki Beach,â‚¬Â 28,4.72 (29)
84,https://www.airbnb.com/rooms/550222030846167006?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Ocean View Waikiki 1BR |Corner, Balcony, ParkingğŸ–",â‚¬Â 28,4.81 (21)
85,https://www.airbnb.com/rooms/20411301?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Aqua Palms Waikiki - 318,â‚¬Â 20,4.8 (60)
86,https://www.airbnb.com/rooms/47492848?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,37th Fl. Ocean View | 1 Block to Beach | Parking,â‚¬Â 33,4.77 (43)
87,https://www.airbnb.com/rooms/50084843?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Private beautiful studio room@Waikiki!  W/Poolâ™ª,â‚¬Â 16,4.87 (31)
88,https://www.airbnb.com/rooms/53982457?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,3min to Beach@Waikikiâ™ª Private room Family stay!,â‚¬Â 16,4.94 (17)
89,https://www.airbnb.com/rooms/20539357?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,STUDIO ON 11TH FLOOR IN WAIKIKI!!!,â‚¬Â 12,4.24 (37)
90,https://www.airbnb.com/rooms/50055137?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Private studio in Waikiki! Max 4/Condo has Poolâ™ª,â‚¬Â 15,4.62 (21)
91,https://www.airbnb.com/rooms/787187544404460110?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Ocean view private studio W/free reserved parking!,â‚¬Â 18,New
92,https://www.airbnb.com/rooms/780476917047297433?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Waikiki Banyan #1105 Mountain View, Close to Beach",â‚¬Â 27,New
93,https://www.airbnb.com/rooms/54206860?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Chic 1 bedroom with City Views!ğŸ™,â‚¬Â 26,4.67 (6)
94,https://www.airbnb.com/rooms/661300575214865586?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Breath taking Ocean&Diamond Head View,â‚¬Â 18,4.86 (22)
95,https://www.airbnb.com/rooms/523669967821214288?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Studio w/ Ocean View - 2 blocks to Waikiki Beach,â‚¬Â 28,4.72 (29)
96,https://www.airbnb.com/rooms/18271078?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Oceanview Waikiki Hawaiian Paradise Free Wifi, A/C",â‚¬Â 23,4.8 (95)
97,https://www.airbnb.com/rooms/579105258704085116?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Stylish Hawaiian Monarch Studio | Partial Ocean View | Pool, Hot Tub",â‚¬Â 15,4.47 (15)
98,https://www.airbnb.com/rooms/37884778?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Spacious studio near Int. Marketplace with Parking,â‚¬Â 22,4.91 (66)
99,https://www.airbnb.com/rooms/54304214?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Waikiki Modern Browns, Beachy Studio, Two Lanais!",â‚¬Â 21,4.68 (47)
100,https://www.airbnb.com/rooms/53982457?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,3min to Beach@Waikikiâ™ª Private room Family stay!,â‚¬Â 16,4.94 (17)
101,https://www.airbnb.com/rooms/14119796?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"OCEAN view, balcony, Beachfront 1 Bed, W&D! WS1316",â‚¬Â 47,4.94 (16)
102,https://www.airbnb.com/rooms/763299698139037545?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Modern Studio - Heart of Waikiki with Parking!,â‚¬Â 25,4.33 (3)
103,https://www.airbnb.com/rooms/678973727496588292?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Marine Surf Ocean Studio on the 16th Floor,â‚¬Â 24,4.5 (6)
104,https://www.airbnb.com/rooms/39416735?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Pacific Monarch Ocean Studio on the 31st Floor,â‚¬Â 26,4.64 (39)
105,https://www.airbnb.com/rooms/49688141?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,10 | Modest Private Studio in Central Honolulu,â‚¬Â 13,4.46 (35)
106,https://www.airbnb.com/rooms/49255448?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,â¤ï¸AWESOME STUDIOSâ¤ï¸  5min to ğŸ„â€â™€ï¸ğŸŠâ€â™€ï¸ğŸ–ğŸ ğŸ‹ğŸ¦ˆFREE ğŸš™ğŸ…¿ï¸ 250mbps+ğŸ’»,â‚¬Â 25,4.62 (240)
107,https://www.airbnb.com/rooms/812571932826182173?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Waikiki Getaway Starts Here! Deluxe Studio, Pool",â‚¬Â 43,New
108,https://www.airbnb.com/rooms/812571869753128758?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,A Place You'll Surely Enjoy! 2 Units with Pool!,â‚¬Â 43,New
109,https://www.airbnb.com/rooms/44101179?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,29th Fl. Ocean Views | Close to Beach | Parking,â‚¬Â 31,4.83 (52)
110,https://www.airbnb.com/rooms/5288332?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Ko Olina Beach Villa Ocean View Condo 2BR/2BA,â‚¬Â 90,4.96 (135)
111,https://www.airbnb.com/rooms/43770219?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Parking included! Waikiki Banyan 1BR w/Ocean Views,â‚¬Â 30,4.77 (70)
112,https://www.airbnb.com/rooms/761985537913492660?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Lovely Waikiki studio mins from the beach,â‚¬Â 19,5.0 (3)
113,https://www.airbnb.com/rooms/600368055056493509?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,*Beautiful 1BR Suite in Central Waikiki*~,â‚¬Â 37,5.0 (23)
114,https://www.airbnb.com/rooms/49255448?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,â¤ï¸AWESOME STUDIOSâ¤ï¸  5min to ğŸ„â€â™€ï¸ğŸŠâ€â™€ï¸ğŸ–ğŸ ğŸ‹ğŸ¦ˆFREE ğŸš™ğŸ…¿ï¸ 250mbps+ğŸ’»,â‚¬Â 25,4.62 (240)
115,https://www.airbnb.com/rooms/710836544090019505?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Glamping Hawaii,â‚¬Â 63,3.8 (5)
116,https://www.airbnb.com/rooms/20139455?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Work Remotely high speed wifi Monthly only,â‚¬Â 12,4.91 (43)
117,https://www.airbnb.com/rooms/47101452?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,404 CLEAN AND BRIGHT ESCAPE!!:),â‚¬Â 15,4.46 (72)
118,https://www.airbnb.com/rooms/37683445?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,PANORAMIC OCEANVIEW ON HIGH FLOOR STEPS FROM BEACH,â‚¬Â 28,4.83 (151)
119,https://www.airbnb.com/rooms/787187544404460110?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Ocean view private studio W/free reserved parking!,â‚¬Â 18,New
120,https://www.airbnb.com/rooms/50035882?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Perfect Home for Discovering Oahu SLEEPS UP TO 12,â‚¬Â 62,4.7 (53)
